,defBodySigStrikeAccuracy,defBodySigStrikeAttemped,defBodySigStrikeSuccessful,defClinchSigStrikeAccuracy,defClinchSigStrikeAttemped,defClinchSigStrikeSuccessful,defDistanceSigStrikeAccuracy,defDistanceSigStrikeAttemped,defDistanceSigStrikeSuccessful,defGroundSigStrikeAccuracy,defGroundSigStrikeAttemped,defGroundSigStrikeSuccessful,defHeadSigStrikeAccuracy,defHeadSigStrikeAttemped,defHeadSigStrikeSuccessful,defKnockdowns,defLegSigStrikeAccuracy,defLegSigStrikeAttemped,defLegSigStrikeSuccessful,defPassSuccessful,defReversalSuccessful,defSubmissionAttempted,defTakedownAttempted,defTakedownSuccessful,defTotStrikeAccuracy,defTotStrikeAttempted,defTotStrikeSuccessful,offBodySigStrikeAccuracy,offBodySigStrikeAttemped,offBodySigStrikeSuccessful,offClinchSigStrikeAccuracy,offClinchSigStrikeAttemped,offClinchSigStrikeSuccessful,offDistanceSigStrikeAccuracy,offDistanceSigStrikeAttemped,offDistanceSigStrikeSuccessful,offGroundSigStrikeAccuracy,offGroundSigStrikeAttemped,offGroundSigStrikeSuccessful,offHeadSigStrikeAccuracy,offHeadSigStrikeAttemped,offHeadSigStrikeSuccessful,offKnockdowns,offLegSigStrikeAccuracy,offLegSigStrikeAttemped,offLegSigStrikeSuccessful,offPassSuccessful,offReversalSuccessful,offSubmissionAttempted,offTakedownAttempted,offTakedownSuccessful,offTotStrikeAccuracy,offTotStrikeAttempted,offTotStrikeSuccessful,score
4d525fea-ade0-4ceb-bcbf-93f92cb3bb7f,0.6666666666666666,6.0,4.0,0.0,0.0,0.0,0.3269230769230769,52.0,17.0,0.0,0.0,0.0,0.26666666666666666,45.0,12.0,0,1.0,1.0,1.0,0,0,0,0,0,0.3269230769230769,52,17,0.0,2.0,0.0,0.6666666666666666,3.0,2.0,0.6545454545454545,55.0,36.0,0.6666666666666666,3.0,2.0,0.6136363636363636,44.0,27.0,1,0.8666666666666667,15.0,13.0,0,0,0,0,0,0.6557377049180327,61,40,7.0
838ca618-88e9-4615-8c34-483a6747f885,0.0,2.0,0.0,0.6666666666666666,3.0,2.0,0.6545454545454545,55.0,36.0,0.6666666666666666,3.0,2.0,0.6136363636363636,44.0,27.0,1,0.8666666666666667,15.0,13.0,0,0,0,0,0,0.6557377049180327,61,40,0.6666666666666666,6.0,4.0,0.0,0.0,0.0,0.3269230769230769,52.0,17.0,0.0,0.0,0.0,0.26666666666666666,45.0,12.0,0,1.0,1.0,1.0,0,0,0,0,0,0.3269230769230769,52,17,-7.0
16d1c2a9-8fe9-4b5d-90be-3182b6b2f9eb,0.8333333333333334,6.0,5.0,0.75,12.0,9.0,0.37254901960784315,51.0,19.0,0.6666666666666666,3.0,2.0,0.4166666666666667,60.0,25.0,1,0.0,0.0,0.0,0,0,0,3,1,0.5135135135135135,74,38,0.0,0.0,0.0,0.3333333333333333,6.0,2.0,0.6086956521739131,23.0,14.0,0.0,0.0,0.0,0.5,24.0,12.0,0,0.8,5.0,4.0,0,0,0,0,0,0.6666666666666666,39,26,0.0
9a091280-53ee-410b-8df1-3c3a2d70b8e9,0.0,0.0,0.0,0.3333333333333333,6.0,2.0,0.6086956521739131,23.0,14.0,0.0,0.0,0.0,0.5,24.0,12.0,0,0.8,5.0,4.0,0,0,0,0,0,0.6666666666666666,39,26,0.8333333333333334,6.0,5.0,0.75,12.0,9.0,0.37254901960784315,51.0,19.0,0.6666666666666666,3.0,2.0,0.4166666666666667,60.0,25.0,1,0.0,0.0,0.0,0,0,0,3,1,0.5135135135135135,74,38,0.0
9a75a38e-393a-412b-92f1-1ef1c841b276,1.0,2.0,2.0,0.6666666666666666,3.0,2.0,0.3333333333333333,3.0,1.0,0.75,4.0,3.0,0.5,8.0,4.0,0,0.0,0.0,0.0,4,2,1,2,1,0.7586206896551724,29,22,1.0,2.0,2.0,0.8,5.0,4.0,0.6666666666666666,3.0,2.0,0.5555555555555556,27.0,15.0,0.5757575757575758,33.0,19.0,0,0.0,0.0,0.0,0,1,0,0,0,0.6222222222222222,45,28,-7.0
2a4dcdaa-fd99-4773-9926-71daba689df5,1.0,2.0,2.0,0.8,5.0,4.0,0.6666666666666666,3.0,2.0,0.5555555555555556,27.0,15.0,0.5757575757575758,33.0,19.0,0,0.0,0.0,0.0,0,1,0,0,0,0.6222222222222222,45,28,1.0,2.0,2.0,0.6666666666666666,3.0,2.0,0.3333333333333333,3.0,1.0,0.75,4.0,3.0,0.5,8.0,4.0,0,0.0,0.0,0.0,4,2,1,2,1,0.7586206896551724,29,22,7.0
71f4c0b3-6316-4c9f-aea4-8e840207f3c2,1.0,1.0,1.0,0.0,0.0,0.0,0.8571428571428571,7.0,6.0,0.0,0.0,0.0,0.5,2.0,1.0,0,1.0,4.0,4.0,0,0,0,0,0,0.8571428571428571,7,6,1.0,2.0,2.0,1.0,7.0,7.0,0.3333333333333333,18.0,6.0,1.0,2.0,2.0,0.52,25.0,13.0,1,0.0,0.0,0.0,0,0,0,0,0,0.5555555555555556,27,15,7.0
9d1a303b-1419-4b50-b049-c697a4409cde,1.0,2.0,2.0,1.0,7.0,7.0,0.3333333333333333,18.0,6.0,1.0,2.0,2.0,0.52,25.0,13.0,1,0.0,0.0,0.0,0,0,0,0,0,0.5555555555555556,27,15,1.0,1.0,1.0,0.0,0.0,0.0,0.8571428571428571,7.0,6.0,0.0,0.0,0.0,0.5,2.0,1.0,0,1.0,4.0,4.0,0,0,0,0,0,0.8571428571428571,7,6,-7.0
50627fb4-ce64-4be4-b13e-1e7da4bf3c4b,0.5961538461538461,52.0,31.0,0.6666666666666666,3.0,2.0,0.5089285714285714,112.0,57.0,0.0,0.0,0.0,0.4426229508196721,61.0,27.0,1,0.5,2.0,1.0,0,0,0,0,0,0.5172413793103449,116,60,0.5454545454545454,11.0,6.0,0.0,1.0,0.0,0.379746835443038,79.0,30.0,0.0,0.0,0.0,0.3076923076923077,65.0,20.0,0,1.0,4.0,4.0,0,0,0,0,0,0.38271604938271603,81,31,-7.0
c03e43b6-912e-43fa-ba6d-75c0a9ec2dbc,0.5454545454545454,11.0,6.0,0.0,1.0,0.0,0.379746835443038,79.0,30.0,0.0,0.0,0.0,0.3076923076923077,65.0,20.0,0,1.0,4.0,4.0,0,0,0,0,0,0.38271604938271603,81,31,0.5961538461538461,52.0,31.0,0.6666666666666666,3.0,2.0,0.5089285714285714,112.0,57.0,0.0,0.0,0.0,0.4426229508196721,61.0,27.0,1,0.5,2.0,1.0,0,0,0,0,0,0.5172413793103449,116,60,7.0
