oid,boutOid,date,defBodySigStrikeAccuracy,defBodySigStrikeAttempted,defBodySigStrikeSuccessful,defClinchSigStrikeAccuracy,defClinchSigStrikeAttempted,defClinchSigStrikeSuccessful,defDistanceSigStrikeAccuracy,defDistanceSigStrikeAttempted,defDistanceSigStrikeSuccessful,defFinish,defGroundSigStrikeAccuracy,defGroundSigStrikeAttempted,defGroundSigStrikeSuccessful,defHeadSigStrikeAccuracy,defHeadSigStrikeAttempted,defHeadSigStrikeSuccessful,defKnockdowns,defKoScore,defLegSigStrikeAccuracy,defLegSigStrikeAttempted,defLegSigStrikeSuccessful,defPassSuccessful,defReversalSuccessful,defSubmissionAccuracy,defSubmissionAttempted,defSubmissionScore,defSubmissionSuccessful,defTakedownAccuracy,defTakedownAttempted,defTakedownSuccessful,defTkoKo,defTotStrikeAccuracy,defTotStrikeAttempted,defTotStrikeSuccessful,fighterOid,finish,offBodySigStrikeAccuracy,offBodySigStrikeAttempted,offBodySigStrikeSuccessful,offClinchSigStrikeAccuracy,offClinchSigStrikeAttempted,offClinchSigStrikeSuccessful,offDistanceSigStrikeAccuracy,offDistanceSigStrikeAttempted,offDistanceSigStrikeSuccessful,offFinish,offGroundSigStrikeAccuracy,offGroundSigStrikeAttempted,offGroundSigStrikeSuccessful,offHeadSigStrikeAccuracy,offHeadSigStrikeAttempted,offHeadSigStrikeSuccessful,offKnockdowns,offKoScore,offLegSigStrikeAccuracy,offLegSigStrikeAttempted,offLegSigStrikeSuccessful,offPassSuccessful,offReversalSuccessful,offSubmissionAccuracy,offSubmissionAttempted,offSubmissionScore,offSubmissionSuccessful,offTakedownAccuracy,offTakedownAttempted,offTakedownSuccessful,offTkoKo,offTotStrikeAccuracy,offTotStrikeAttempted,offTotStrikeSuccessful,round,score,seconds,weight,weightClass
ed75c222-f79d-4c48-a87e-d91ac75ce655,fc151494-bd44-4146-b40c-f53320caa67c,2007-09-08T04:00:00.000+0000,1.0,5.0,5.0,0.0,0.0,0.0,0.23880597014925373,67.0,16.0,0,0.0,0.0,0.0,0.1206896551724138,58.0,7.0,0,0.030017984294926827,1.0,4.0,4.0,0,0,0.0,0,0.012145965874786141,0,0.0,0,0,0,0.23880597014925373,67,16,98b80a717b9bda17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.43661971830985913,71.0,31.0,0,1.0,2.0,2.0,0.4520547945205479,73.0,33.0,0,0.5088517750664868,0.0,0.0,0.0,1,0,0.0,0,0.08316801965029431,0,0.5,4,2,0,0.4939759036144578,83,41,1,,300,205,LHW
4570f5d0-8f7e-4433-810f-225c0174e826,fc151494-bd44-4146-b40c-f53320caa67c,2007-09-08T04:00:00.000+0000,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,52.0,16.0,0,0.0,0.0,0.0,0.29411764705882354,51.0,15.0,0,0.07343767025251821,1.0,1.0,1.0,0,0,0.0,0,0.011130375995041448,0,0.0,0,0,0,0.3148148148148148,54,17,98b80a717b9bda17,0,0.5,2.0,1.0,1.0,1.0,1.0,0.4444444444444444,27.0,12.0,0,0.0,0.0,0.0,0.46153846153846156,26.0,12.0,0,0.03271352978864638,0.0,0.0,0.0,1,0,0.0,0,0.022440301106304884,0,1.0,2,2,0,0.5609756097560976,41,23,2,,300,205,LHW
e397ceb5-fcf9-4bde-bd16-acab3a1edc05,fc151494-bd44-4146-b40c-f53320caa67c,2007-09-08T04:00:00.000+0000,1.0,1.0,1.0,0.0,0.0,0.0,0.3488372093023256,43.0,15.0,0,0.0,0.0,0.0,0.3170731707317073,41.0,13.0,0,0.056468043933805806,1.0,1.0,1.0,0,0,0.0,0,0.007385263893127795,0,0.0,0,0,0,0.5245901639344263,61,32,98b80a717b9bda17,0,0.0,0.0,0.0,0.0,0.0,0.0,0.4090909090909091,22.0,9.0,0,1.0,1.0,1.0,0.43478260869565216,23.0,10.0,0,0.06938585978437697,0.0,0.0,0.0,2,0,0.0,0,0.041652367864514254,0,0.3333333333333333,6,2,0,0.5853658536585366,41,24,3,,300,205,LHW
ef500629-5e07-48cd-91c7-1c0324d537dc,fc151494-bd44-4146-b40c-f53320caa67c,2007-09-08T04:00:00.000+0000,0.0,0.0,0.0,0.0,0.0,0.0,0.43661971830985913,71.0,31.0,0,1.0,2.0,2.0,0.4520547945205479,73.0,33.0,0,0.5088517750664868,0.0,0.0,0.0,1,0,0.0,0,0.08316801965029431,0,0.5,4,2,0,0.4939759036144578,83,41,2b93ebd9f5417ad2,0,1.0,5.0,5.0,0.0,0.0,0.0,0.23880597014925373,67.0,16.0,0,0.0,0.0,0.0,0.1206896551724138,58.0,7.0,0,0.030017984294926827,1.0,4.0,4.0,0,0,0.0,0,0.012145965874786141,0,0.0,0,0,0,0.23880597014925373,67,16,1,,300,205,LHW
34495904-e5ae-40c0-8429-d1d106fae11b,fc151494-bd44-4146-b40c-f53320caa67c,2007-09-08T04:00:00.000+0000,0.5,2.0,1.0,1.0,1.0,1.0,0.4444444444444444,27.0,12.0,0,0.0,0.0,0.0,0.46153846153846156,26.0,12.0,0,0.03271352978864638,0.0,0.0,0.0,1,0,0.0,0,0.022440301106304884,0,1.0,2,2,0,0.5609756097560976,41,23,2b93ebd9f5417ad2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.3076923076923077,52.0,16.0,0,0.0,0.0,0.0,0.29411764705882354,51.0,15.0,0,0.07343767025251821,1.0,1.0,1.0,0,0,0.0,0,0.011130375995041448,0,0.0,0,0,0,0.3148148148148148,54,17,2,,300,205,LHW
bc9f24c8-0ca5-4f4d-a54c-b32f6551bf82,fc151494-bd44-4146-b40c-f53320caa67c,2007-09-08T04:00:00.000+0000,0.0,0.0,0.0,0.0,0.0,0.0,0.4090909090909091,22.0,9.0,0,1.0,1.0,1.0,0.43478260869565216,23.0,10.0,0,0.06938585978437697,0.0,0.0,0.0,2,0,0.0,0,0.041652367864514254,0,0.3333333333333333,6,2,0,0.5853658536585366,41,24,2b93ebd9f5417ad2,0,1.0,1.0,1.0,0.0,0.0,0.0,0.3488372093023256,43.0,15.0,0,0.0,0.0,0.0,0.3170731707317073,41.0,13.0,0,0.056468043933805806,1.0,1.0,1.0,0,0,0.0,0,0.007385263893127795,0,0.0,0,0,0,0.5245901639344263,61,32,3,,300,205,LHW
6fcf9f73-1566-496c-8f47-92783b0d8528,472e1dac-2ffd-42be-b771-5c743b351d52,2007-09-08T04:00:00.000+0000,0.6,5.0,3.0,1.0,5.0,5.0,0.5384615384615384,13.0,7.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.00042189832816285884,0.8181818181818182,11.0,9.0,0,1,0.0,0,0.0019060354563455637,0,0.0,0,0,0,0.7391304347826086,23,17,c32fb8c0f6471a4d,0,0.6666666666666666,3.0,2.0,0.0,0.0,0.0,0.4166666666666667,12.0,5.0,0,0.6,5.0,3.0,0.46153846153846156,13.0,6.0,0,0.24620269155037855,0.0,1.0,0.0,2,0,0.0,0,0.022216498877019125,0,1.0,1,1,0,0.7857142857142857,42,33,1,,300,265,HW
b129b76c-0e06-4d2f-9a88-c479ad4d7a6e,472e1dac-2ffd-42be-b771-5c743b351d52,2007-09-08T04:00:00.000+0000,0.8333333333333334,12.0,10.0,1.0,9.0,9.0,0.15384615384615385,13.0,2.0,0,0.75,8.0,6.0,0.23076923076923078,13.0,3.0,0,0.22369581868508753,0.8,5.0,4.0,1,0,0.0,0,0.07826508989980956,0,0.3333333333333333,3,1,0,0.6222222222222222,45,28,c32fb8c0f6471a4d,0,1.0,1.0,1.0,0.5,2.0,1.0,0.5,2.0,1.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0,0.0004124742009046444,0.5,2.0,1.0,0,0,0.0,0,0.002298393654118835,0,0.0,0,0,0,0.7777777777777778,9,7,2,,300,265,HW
da360965-6404-4980-964a-64e4ac4a00dd,472e1dac-2ffd-42be-b771-5c743b351d52,2007-09-08T04:00:00.000+0000,0.8125,16.0,13.0,0.85,20.0,17.0,0.4857142857142857,35.0,17.0,0,0.0,0.0,0.0,0.34782608695652173,23.0,8.0,0,0.26314191475709886,0.8125,16.0,13.0,0,0,0.0,0,0.013852590288889953,0,0.0,1,0,0,0.6666666666666666,63,42,c32fb8c0f6471a4d,0,0.4,5.0,2.0,0.5,4.0,2.0,0.375,8.0,3.0,0,0.0,0.0,0.0,0.3333333333333333,6.0,2.0,0,0.022197652112421702,1.0,1.0,1.0,0,0,0.0,0,0.0035167907910062727,0,0.0,0,0,0,0.4166666666666667,12,5,3,,300,265,HW
dc518703-64ac-4b02-925e-d2af0e6e9402,472e1dac-2ffd-42be-b771-5c743b351d52,2007-09-08T04:00:00.000+0000,0.6666666666666666,3.0,2.0,0.0,0.0,0.0,0.4166666666666667,12.0,5.0,0,0.6,5.0,3.0,0.46153846153846156,13.0,6.0,0,0.24620269155037855,0.0,1.0,0.0,2,0,0.0,0,0.022216498877019125,0,1.0,1,1,0,0.7857142857142857,42,33,1eacf73d6a0055dc,0,0.6,5.0,3.0,1.0,5.0,5.0,0.5384615384615384,13.0,7.0,0,0.0,0.0,0.0,0.0,2.0,0.0,0,0.00042189832816285884,0.8181818181818182,11.0,9.0,0,1,0.0,0,0.0019060354563455637,0,0.0,0,0,0,0.7391304347826086,23,17,1,,300,265,HW
