oid,boutOid,date,defBodySigStrikeAccuracy,defBodySigStrikeAttempted,defBodySigStrikeSuccessful,defClinchSigStrikeAccuracy,defClinchSigStrikeAttempted,defClinchSigStrikeSuccessful,defDistanceSigStrikeAccuracy,defDistanceSigStrikeAttempted,defDistanceSigStrikeSuccessful,defFinish,defGroundSigStrikeAccuracy,defGroundSigStrikeAttempted,defGroundSigStrikeSuccessful,defHeadSigStrikeAccuracy,defHeadSigStrikeAttempted,defHeadSigStrikeSuccessful,defKnockdowns,defKoScore,defLegSigStrikeAccuracy,defLegSigStrikeAttempted,defLegSigStrikeSuccessful,defPassSuccessful,defReversalSuccessful,defSubmissionAccuracy,defSubmissionAttempted,defSubmissionScore,defSubmissionSuccessful,defTakedownAccuracy,defTakedownAttempted,defTakedownSuccessful,defTkoKo,defTotStrikeAccuracy,defTotStrikeAttempted,defTotStrikeSuccessful,fighterOid,finish,offBodySigStrikeAccuracy,offBodySigStrikeAttempted,offBodySigStrikeSuccessful,offClinchSigStrikeAccuracy,offClinchSigStrikeAttempted,offClinchSigStrikeSuccessful,offDistanceSigStrikeAccuracy,offDistanceSigStrikeAttempted,offDistanceSigStrikeSuccessful,offFinish,offGroundSigStrikeAccuracy,offGroundSigStrikeAttempted,offGroundSigStrikeSuccessful,offHeadSigStrikeAccuracy,offHeadSigStrikeAttempted,offHeadSigStrikeSuccessful,offKnockdowns,offKoScore,offLegSigStrikeAccuracy,offLegSigStrikeAttempted,offLegSigStrikeSuccessful,offPassSuccessful,offReversalSuccessful,offSubmissionAccuracy,offSubmissionAttempted,offSubmissionScore,offSubmissionSuccessful,offTakedownAccuracy,offTakedownAttempted,offTakedownSuccessful,offTkoKo,offTotStrikeAccuracy,offTotStrikeAttempted,offTotStrikeSuccessful,round,score,seconds,weight,weightClass
a52c86fc-d528-44c0-9232-59e7dbe93848,73d1d2f7-9c9e-4f96-9f18-2176dde26b51,2006-12-13T05:00:00.000+0000,1.0,1.0,1.0,0.0,0.0,0.0,0.42857142857142855,7.0,3.0,1,1.0,3.0,3.0,0.5555555555555556,9.0,5.0,2,,0.0,0.0,0.0,0,0,0.0,0,,0,0.0,1,0,1,0.6,10,6,d512d9f204059f57,1,0.5,2.0,1.0,0.0,0.0,0.0,0.5,6.0,3.0,0,0.0,0.0,0.0,0.5,4.0,2.0,0,,0.0,0.0,0.0,0,0,0.0,0,,0,0.0,0,0,0,0.5,6,3,1,,105,170,WW
22b65b3e-2916-4183-8852-e7ea4b4acd5d,73d1d2f7-9c9e-4f96-9f18-2176dde26b51,2006-12-13T05:00:00.000+0000,0.5,2.0,1.0,0.0,0.0,0.0,0.5,6.0,3.0,0,0.0,0.0,0.0,0.5,4.0,2.0,0,,0.0,0.0,0.0,0,0,0.0,0,,0,0.0,0,0,0,0.5,6,3,82e7929bf6c2b689,1,1.0,1.0,1.0,0.0,0.0,0.0,0.42857142857142855,7.0,3.0,1,1.0,3.0,3.0,0.5555555555555556,9.0,5.0,2,,0.0,0.0,0.0,0,0,0.0,0,,0,0.0,1,0,1,0.6,10,6,1,,105,170,WW
33fbf85d-1f3b-4048-80aa-b7d725d2a465,eae5d12b-e1b7-4020-abe6-e27f77e0c080,2006-06-24T04:00:00.000+0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.625,8.0,5.0,0.625,8.0,5.0,0,,0.0,0.0,0.0,3,0,1.0,1,,1,0.5,2,1,0,0.8636363636363636,22,19,501b07aec9b8fc2d,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0,,0.0,0.0,0.0,0,0,0.0,0,,0,0.0,0,0,0,0.0,4,0,1,,106,155,LW
28d4da7d-1f65-48dd-b6c9-e519c884d797,eae5d12b-e1b7-4020-abe6-e27f77e0c080,2006-06-24T04:00:00.000+0000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0,0.0,0.0,0.0,0.0,4.0,0.0,0,,0.0,0.0,0.0,0,0,0.0,0,,0,0.0,0,0,0,0.0,4,0,cb139171ed1b69fe,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.625,8.0,5.0,0.625,8.0,5.0,0,,0.0,0.0,0.0,3,0,1.0,1,,1,0.5,2,1,0,0.8636363636363636,22,19,1,,106,155,LW
df534bab-8c3e-4cac-9898-d8bccaf95aec,a0a4c6f6-6ef4-49dd-9f85-9befb8ebce27,2006-11-18T05:00:00.000+0000,0.6,5.0,3.0,0.8,5.0,4.0,0.41509433962264153,53.0,22.0,0,1.0,2.0,2.0,0.45454545454545453,44.0,20.0,1,,0.45454545454545453,11.0,5.0,1,0,0.0,0,,0,1.0,1,1,0,0.5,64,32,621a6c59f88a44fe,0,0.5,2.0,1.0,0.0,1.0,0.0,0.17857142857142858,28.0,5.0,0,0.0,0.0,0.0,0.11538461538461539,26.0,3.0,0,,1.0,1.0,1.0,0,0,0.0,0,,0,0.0,2,0,0,0.1724137931034483,29,5,1,,300,170,WW
87c63aa8-d5a1-4baf-8554-96749f27659c,a0a4c6f6-6ef4-49dd-9f85-9befb8ebce27,2006-11-18T05:00:00.000+0000,0.0,0.0,0.0,0.0,0.0,0.0,0.5238095238095238,21.0,11.0,1,0.5454545454545454,11.0,6.0,0.46153846153846156,26.0,12.0,1,,0.8333333333333334,6.0,5.0,0,0,0.0,0,,0,0.0,0,0,1,0.53125,32,17,621a6c59f88a44fe,1,1.0,2.0,2.0,1.0,2.0,2.0,0.375,8.0,3.0,0,0.0,0.0,0.0,0.375,8.0,3.0,0,,0.0,0.0,0.0,0,0,0.0,0,,0,0.0,1,0,0,0.5,10,5,2,,85,170,WW
af344a5f-597b-489d-9d43-ab12c8af718b,a0a4c6f6-6ef4-49dd-9f85-9befb8ebce27,2006-11-18T05:00:00.000+0000,0.5,2.0,1.0,0.0,1.0,0.0,0.17857142857142858,28.0,5.0,0,0.0,0.0,0.0,0.11538461538461539,26.0,3.0,0,,1.0,1.0,1.0,0,0,0.0,0,,0,0.0,2,0,0,0.1724137931034483,29,5,6506c1d34da9c013,0,0.6,5.0,3.0,0.8,5.0,4.0,0.41509433962264153,53.0,22.0,0,1.0,2.0,2.0,0.45454545454545453,44.0,20.0,1,,0.45454545454545453,11.0,5.0,1,0,0.0,0,,0,1.0,1,1,0,0.5,64,32,1,,300,170,WW
fbce90ca-33bc-47ff-83c9-f740b0a18d86,a0a4c6f6-6ef4-49dd-9f85-9befb8ebce27,2006-11-18T05:00:00.000+0000,1.0,2.0,2.0,1.0,2.0,2.0,0.375,8.0,3.0,0,0.0,0.0,0.0,0.375,8.0,3.0,0,,0.0,0.0,0.0,0,0,0.0,0,,0,0.0,1,0,0,0.5,10,5,6506c1d34da9c013,1,0.0,0.0,0.0,0.0,0.0,0.0,0.5238095238095238,21.0,11.0,1,0.5454545454545454,11.0,6.0,0.46153846153846156,26.0,12.0,1,,0.8333333333333334,6.0,5.0,0,0,0.0,0,,0,0.0,0,0,1,0.53125,32,17,2,,85,170,WW
6d51c758-1d87-4bcf-8d5b-361c725bf966,94fb69c9-311c-4260-b89c-5979fdce9b3f,2006-10-14T04:00:00.000+0000,0.9583333333333334,24.0,23.0,0.9285714285714286,28.0,26.0,0.625,8.0,5.0,1,0.0,0.0,0.0,0.5555555555555556,9.0,5.0,1,,1.0,3.0,3.0,0,0,0.0,0,,0,0.0,0,0,1,0.8611111111111112,36,31,d897897060f10a3a,1,0.5,2.0,1.0,0.5,4.0,2.0,0.42105263157894735,19.0,8.0,0,0.0,0.0,0.0,0.25,16.0,4.0,0,,1.0,5.0,5.0,0,0,0.0,0,,0,0.0,0,0,0,0.5,26,13,1,,179,185,MW
50ecfb68-88a1-434a-9f26-d595c6eb91ae,94fb69c9-311c-4260-b89c-5979fdce9b3f,2006-10-14T04:00:00.000+0000,0.5,2.0,1.0,0.5,4.0,2.0,0.42105263157894735,19.0,8.0,0,0.0,0.0,0.0,0.25,16.0,4.0,0,,1.0,5.0,5.0,0,0,0.0,0,,0,0.0,0,0,0,0.5,26,13,1f454354805b6f75,1,0.9583333333333334,24.0,23.0,0.9285714285714286,28.0,26.0,0.625,8.0,5.0,1,0.0,0.0,0.0,0.5555555555555556,9.0,5.0,1,,1.0,3.0,3.0,0,0,0.0,0,,0,0.0,0,0,1,0.8611111111111112,36,31,1,,179,185,MW
